UTC,Pack_count,q0,q1,q2,q3,RollRate,PitchRate,YawRate,Roll,Pitch,Yaw,FreeAccX,FreeAccY,FreeAccZ,Lat,Long,Height,VelX,VelY,VelZ,LoRaRSSI,LoRaSNR,
21:48:38:18,3411,0.094489    0.003366  -0.0053313    -0.99551,-0.013382    -0.00284     0.01329,0.6446509     0.3262519     -169.1541,0.070984     0.20813     0.34204,24.8067      121.0487      72.78928,0.0051689       -0.13   -0.006279,-57,6.5,
21:48:38:49,3412,0.094696   0.0011612  -0.0047712    -0.99549,-0.031921   -0.028442  -0.0068283,0.556886    0.08068847     -169.1319,-0.48975     0.11115       1.459,24.8067      121.0487      72.79131,-0.020538     -0.1333   0.0033875,-57,7,
21:48:38:80,3413,0.094435   0.0028924  -0.0046826    -0.99552,0.013893     0.01178    0.027634,0.5654977     0.2792818     -169.1609,-0.27661    -0.15649     -1.5059,24.8067      121.0487      72.77178,-0.026291    -0.13721    -0.01384,-58,6.5,
21:48:39:11,3414,0.094516     0.00311  -0.0045079    -0.99551,0.025513   0.0060196   -0.024796,0.5479508      0.305955     -169.1515,0.44824     0.10626    -0.39648,24.8067      121.0487      72.76099,-0.0049744     -0.1217   -0.010895,-57,6.25,
21:48:39:42,3415,0.094345   0.0015775  -0.0047707    -0.99553,-0.023239  -0.0052338      0.0401,0.5613006     0.1283868      -169.172,-0.19885     0.42188      2.0449,24.8067      121.0487      72.76035,-0.0070992    -0.12415    0.020508,-58,7,
21:48:39:73,3416,0.094319   0.0015186  -0.0052467    -0.99553,0.0071678   0.0099945    0.019669,0.6149625     0.1165354      -169.175,-0.40479      1.0859     -1.0723,24.8067      121.0487      72.75361,-0.013077    -0.10632    0.011948,-57,6.25,
21:48:40:05,3417,0.094451   0.0013843  -0.0048644    -0.99552,0.01236   0.0039177   -0.013039,0.5699152     0.1052702     -169.1598,0.10565     -1.4736    -0.49805,24.8067      121.0487      72.74689,-0.015839    -0.11487   0.0053864,-57,5.75,
21:48:40:36,3418,0.094138   0.0021878  -0.0051652    -0.99554,0.023056  -0.0073776  -0.0040359,0.6128628     0.1938676     -169.1954,-0.10132      0.7749    -0.78711,24.8067      121.0487      72.74634,-0.016159   -0.099182    0.013153,-57,5.75,
21:48:40:67,3419,0.094135   0.0020744  -0.0047271    -0.99555,-0.063477   0.0040779     0.04007,0.5616599     0.1856595     -169.1959,-0.97168     0.62939    -0.22827,24.8067      121.0487      72.73823,-0.028198   -0.091003   0.0072594,-57,6,
21:48:40:98,3420,0.094209   0.0043341  -0.0045096    -0.99553,-0.037689     0.03038   -0.013588,0.561272     0.4457577      -169.186,0.71729     -2.1895    -0.42139,24.8067      121.0487      72.71411,-0.042969     -0.1087  -0.0080643,-56,6.75,
21:48:41:29,3421,0.094143  0.00082194  -0.0048083    -0.99555,0.039795   -0.028183   0.0094528,0.5574098    0.04189668     -169.1957,-0.50781     0.74756     -1.0029,24.8067      121.0487      72.70757,0.0055084   -0.069946 -0.00052214,-56,6.75,
21:48:41:60,3422,0.094508  -0.0031071  -0.0063309     -0.9955,0.01329   -0.017273   -0.019073,0.688588    -0.4230156     -169.1563,0.40161     0.23718    -0.70703,24.8067      121.0487      72.68781,-0.027664   -0.069336   -0.024399,-55,6.25,
21:48:41:91,3423,0.094301  -0.0030171  -0.0066435    -0.99552,0.027847    0.032959    0.013969,0.7253099    -0.4159827     -169.1802,-0.44702      0.5293     -1.0537,24.8067      121.0487      72.68611,-0.052094   -0.086853   0.0049515,-54,6,
