UTC,Pack_count,DeltaQ0,DeltaQ1,DeltaQ2,DeltaQ3,q0,q1,q2,q3,RollRate,PitchRate,YawRate,Roll,Pitch,Yaw,RealAccX,RealAccY,RealAccZ,FreeAccX,FreeAccY,FreeAccZ,DeltaVX,DeltaVY,DeltaVZ,Lat,Long,Height,VelX,VelY,VelZ,IMUTemp,FixType,NumSV,StatusWord,PATemp,LoRaRSSI,LoRaSNR,
08:02:54:75,462,1  4.1983e-06  7.8624e-06  1.2233e-05,0.92274  -0.0034685   0.0036747    -0.38539,0.00083971   0.0015726   0.0024471,-0.529047     0.235372     -45.3381,-0.019547   -0.083374      9.7969,0.019577  -0.0096817    0.017685,-0.00019396 -0.00083456    0.097977,0  0  0,0  0  0,31.1719,0,0,00000000,26,-50,6.5,
08:02:55:13,463,1  1.7913e-06  1.1797e-05  1.9375e-05,0.92268  -0.0034873   0.0035632    -0.38554,0.00035834   0.0023632   0.0038757,-0.52615     0.222674     -45.3565,-0.032288   -0.095642      9.7969,0.00011247  -0.0080643    0.016678,-0.00032049 -0.00095652    0.097965,0  0  0,0  0  0,31.1719,0,0,00000000,25.75,-50,6.25,
08:02:55:51,464,1  4.4568e-06  1.2333e-05  1.2384e-05,0.92269  -0.0035073    0.003512    -0.38552,0.00089121     0.00247   0.0024776,-0.525993     0.216397     -45.3533,-0.018036   -0.092957      9.7969,0.011215   -0.015617    0.015976,-0.0001779  -0.0009303    0.097959,0  0  0,0  0  0,31.1719,0,0,00000000,22.2813,-50,7,
08:02:55:89,465,1  5.9226e-06   2.458e-05  1.1507e-06,0.92257  -0.0034805    0.003649    -0.38579,0.0011845   0.0049171  0.00023019,-0.529284     0.231904     -45.3869,-0.032776   -0.080505      9.7969,0.012131   0.0019388    0.016846,-0.00032302 -0.00080607    0.097968,0  0  0,0  0  0,31.1719,0,0,00000000,25.8281,-50,6.25,
08:02:56:26,466,1  1.5756e-06  1.4893e-05 -2.7892e-06,0.92249  -0.0034817   0.0036674      -0.386,0.00031519    0.002985  -0.0005579,-0.530275     0.233677     -45.4131,-0.038666   -0.083435      9.7813,0.0060425   0.0041161   0.0047798,-0.00038388 -0.00083471    0.097847,0  0  0,0  0  0,31.1875,0,0,00000000,26.0781,-50,7,
08:02:56:64,467,1  3.1381e-06  1.6266e-05  7.5426e-06,0.92235  -0.0034787   0.0036174    -0.38632,0.00062752   0.0032501   0.0015087,-0.527827     0.228337     -45.4526,-0.01857   -0.084534      9.7891,0.018463   -0.010674    0.010086,-0.00018253 -0.00084624    0.097901,0  0  0,0  0  0,31.1875,0,0,00000000,26.2344,-50,6,
08:02:57:01,468,1   4.665e-06 -1.4322e-06   3.202e-05,0.92229  -0.0034823   0.0037206    -0.38647,0.00093317 -0.00027537   0.0064049,-0.532817     0.238998     -45.4716,-0.046265   -0.088379      9.7969,-0.0020199   0.0059013     0.01564,-0.00046275   -0.000885    0.097955,0  0  0,0  0  0,31.1875,0,0,00000000,26,-50,6.5,
08:02:57:39,469,1   1.071e-05  2.3518e-06  2.1253e-05,0.92228  -0.0034949   0.0036266    -0.38649,0.002142  0.00048041   0.0042496,-0.529986     0.228493     -45.4737,-0.020996   -0.090698      9.7969,0.012482   -0.012871     0.02037,-0.00020947 -0.00090886    0.098003,0  0  0,0  0  0,31.1875,0,0,00000000,26.0781,-50,6.5,
08:02:57:77,470,1  8.1525e-06  1.7011e-05  4.9925e-06,0.92231  -0.0034997   0.0035041    -0.38642,0.0016308   0.0034122   0.0009985,-0.525053     0.215374     -45.4655,-0.03656    -0.09021      9.7969,-2.4259e-05 -0.00061131    0.020035,-0.00036209 -0.00090356    0.097999,0  0  0,0  0  0,31.1875,0,0,00000000,26,-50,6.5,
08:02:58:15,471,1  4.6346e-07  2.3266e-05 -9.7875e-06,0.92224  -0.0034797   0.0036099    -0.38659,9.2685e-05   0.0046539  -0.0019569,-0.527665     0.227343     -45.4872,-0.034698   -0.080688      9.7969,0.0099869   0.0036049    0.015915,-0.0003423 -0.00080673    0.097959,0  0  0,0  0  0,31.2031,0,0,00000000,26.0781,-50,6.5,
