UTC,Pack_count,q0,q1,q2,q3,RollRate,PitchRate,YawRate,Roll,Pitch,Yaw,FreeAccX,FreeAccY,FreeAccZ,Lat,Long,Height,VelX,VelY,VelZ,LoRaRSSI,LoRaSNR,
24:14:32:18,1148,1 -7.6017e-05 -0.00062775 -0.00037981,0.00092888    0.010254 -0.00078678,-0.0086836   -0.071938   -0.043518,-0.016739    0.044983   -0.089905,24.786      120.9974      149.9042,0.04095459    -0.1704102      149.9042,-64,5,
24:14:32:62,1149,1  -0.0002173 -0.00060993 -0.00024829,0.00093699   0.0038433 -0.00095224,-0.024883   -0.069899   -0.028437,0.012642    0.029129   -0.059753,24.786      120.9974      149.8231,0.0423584    -0.1837158      149.8231,-58,6,
24:14:33:07,1150,1 -0.00033426 -0.00056561 -0.00011761,0.0016546   0.0051651  -0.0012531,-0.038296   -0.064818   -0.013455,0.0064316   -0.029083 -0.00038338,24.786      120.9974      149.7508,0.04144287     -0.192627      149.7508,-56,5.75,
24:14:33:51,1151,1 -0.00038601  -0.0004846 -4.2811e-06,0.0014601   0.0037022  -0.0011768,-0.044233   -0.055531 -0.00046914,-0.014671    0.012268    -0.04541,24.786      120.9974      149.8092,0.04269409    -0.2015381      149.8092,-56,6.5,
24:14:33:96,1152,1  -0.0002711 -0.00054259  9.3983e-05,-0.0014906   0.0041122  9.7394e-05,-0.031071   -0.062173    0.010786,0.00058413  -0.0010605   -0.005497,24.78601      120.9974      149.7346,0.043396     -0.211792      149.7346,-57,6,
24:14:34:40,1153,1   -0.000203  -0.0005487  0.00010017,-0.00082922   0.0074844 -0.00051117,-0.023269   -0.062875    0.011491,-0.0089874   0.0048981    -0.01017,24.78601      120.9974      149.6683,0.04351807    -0.2197266      149.6683,-57,5.75,
24:14:34:85,1154,1 -0.00018719 -0.00058941  0.00028084,-0.0010033   0.0070114 -0.00016868,-0.021469   -0.067536    0.032195,0.002533  -0.0073204  -0.0045357,24.78601      120.9974      149.5947,0.04345703    -0.2279053      149.5947,-52,5.75,
24:14:35:29,1155,1  -0.0002444 -0.00059088  0.00031685,0.00019503   0.0060005  0.00056124,-0.028028   -0.067701    0.036325,-0.001298    0.017807   -0.014664,24.78601      120.9974      149.4888,0.04382324    -0.2410889      149.4888,-52,6,
24:14:35:73,1156,1 -0.00033383 -0.00058938  0.00028463,0.0065346   0.0072975   -0.002327,-0.038273   -0.067527    0.032639,0.026627   -0.073059     0.08252,24.78601      120.9974      149.4977,0.0451355    -0.2507324      149.4977,-52,6.5,
24:14:36:18,1157,1 -0.00033162 -0.00066139  6.0672e-05,0.00063753   0.0045776  -0.0010338,-0.038005   -0.075788   0.0069776,-0.0015974   -0.017792  -0.0017471,24.78601      120.9975      149.4232,0.04437256    -0.2563477      149.4232,-52,6.25,
24:14:36:62,1158,1 -0.00043583 -0.00062109  -9.583e-05,0.00099564   0.0068855 -0.00041032,-0.049936   -0.071176    -0.01095,0.0090027   -0.014145 -0.00043011,24.78601      120.9975      149.3354,0.04067993    -0.2524414      149.3354,-52,6.5,
24:14:37:07,1159,1 -0.00048534 -0.00063277  0.00013121,-0.0031414   0.0054359  0.00019193,-0.055625   -0.072502     0.01507,-0.0070267   0.0087814   -0.031021,24.78601      120.9975      149.2238,0.03826904    -0.2565918      149.2238,-54,6,
