UTC,Pack_count,q0,q1,q2,q3,RollRate,PitchRate,YawRate,Roll,Pitch,Yaw,FreeAccX,FreeAccY,FreeAccZ,Lat,Long,Height,VelX,VelY,VelZ,LoRaRSSI,LoRaSNR,
21:54:22:85,4519,0.02771    0.022833   -0.011736     0.99929,-0.42139    -0.13831    0.021179,-1.272898     -2.652787      176.8527,-0.4668      2.3691      2.3848,24.80668      121.0487      75.66872,0.00317    -0.30127   -0.021301,-59,6.25,
21:54:23:17,4520,0.028602    0.020754   0.0016379     0.99937,0.14307   0.0060272    0.017273,0.2558144     -2.372069       176.716,1.7598     -2.0566   -0.054779,24.80668      121.0487      75.61294,0.063416    -0.23792   -0.027283,-58,6,
21:54:23:48,4521,0.028386    0.028671  -0.0044196     0.99918,-0.095276    0.027115     0.11206,-0.4134581     -3.298956      176.7572,-0.069885    -0.43335      1.5459,24.80668      121.0487      75.58817,0.046417    -0.25708   -0.017212,-57,6.5,
21:54:23:79,4522,0.027501    0.026623  -0.0015695     0.99927,0.049042    0.019867   -0.045837,-0.09595801     -3.054948      176.8496,0.77979     -2.3789     0.55664,24.80668      121.0487      75.55276,-0.0028591    -0.25195    -0.03476,-57,6.25,
21:54:24:10,4523,0.027132    0.025025  -0.0030086     0.99931,-0.10303  -0.0029335    0.068115,-0.2670627     -2.876205      176.8963,-2.0117      1.2939     -2.1699,24.80668      121.0487      75.53651,0.00042105    -0.24524   -0.033905,-56,6.25,
21:54:24:41,4524,0.027564    0.028011  -0.0023423     0.99922,0.013367   -0.042236   -0.061554,-0.180012     -3.216368      176.8448,-0.038849    -0.60596     -1.9785,24.80668      121.0487      75.51369,0.02475    -0.24121   -0.021347,-57,6.5,
21:54:24:72,4525,0.027789    0.029517  -0.0011326     0.99918,0.078186    0.008255   -0.082703,-0.03575201     -3.385137      176.8149,1.2637     -1.5381    -0.14917,24.80668      121.0487      75.49555,0.0076981    -0.22656  -0.0012054,-57,6.75,
21:54:25:03,4526,0.027906    0.025795  -0.0015359     0.99928,-0.04953    0.064087    0.055511,-0.09351168     -2.959941      176.8031,-0.88379     0.80176     -1.4023,24.80668      121.0487      75.47606,-0.036407    -0.22437    -0.01619,-57,6.5,
21:54:25:34,4527,0.02768    0.022284  -0.0017753     0.99937,-0.014259  -0.0022335   -0.026917,-0.1327542     -2.558417      176.8299,-0.18445     0.59766      -0.224,24.80668      121.0487       75.4611,-0.01973    -0.21692     -0.0159,-58,6.25,
21:54:25:66,4528,0.027402    0.021159 -0.00094927      0.9994,0.057922   -0.034393     0.02475,-0.0423086     -2.426929      176.8597,0.083069     0.59473      1.6064,24.80668      121.0487      75.44889,0.012833    -0.21008   0.0015039,-59,5.5,
21:54:25:96,4529,0.027746    0.025071  -0.0010197      0.9993,0.024918  -0.0057793    0.029114,-0.03709883     -2.875365      176.8201,-0.34888     0.62305    -0.72217,24.80668      121.0487      75.43344,0.0034161    -0.19324  -0.0023174,-60,6,
21:54:26:28,4530,0.027689    0.026253 -0.00052694     0.99927,-0.016251    0.021378  -0.0081329,0.0229928     -3.009288       176.825,0.27246   -0.019775     0.22888,24.80668      121.0487      75.41772,-0.015854    -0.19556  0.00028276,-60,6.5,
21:54:26:58,4531,0.027753    0.025997  -0.0012405     0.99928,-0.023666  -0.0039635     -0.0056,-0.05945406     -2.982155      176.8198,0.46631      1.0049   -0.073853,24.80668      121.0487      75.39865,-0.029099    -0.17664  -0.0085526,-60,6.25,
21:54:26:90,4532,0.027713     0.02483 -0.00081717     0.99931,0.083313    0.011169   -0.015442,-0.01474355     -2.847049      176.8233,1.1143     -1.2441      1.0244,24.80668      121.0487      75.38577,-0.032471    -0.18713    0.017975,-60,6,
21:54:27:21,4533,0.027855    0.022715  -0.0008954     0.99935,-0.0088501    0.025269   0.0029488,-0.03006662     -2.604962      176.8075,0.13013    0.032776    0.027222,24.80668      121.0487      75.36081,-0.048065    -0.16479   -0.012329,-60,6.25,
