UTC,Pack_count,q0,q1,q2,q3,RollRate,PitchRate,YawRate,Roll,Pitch,Yaw,FreeAccX,FreeAccY,FreeAccZ,Lat,Long,Height,VelX,VelY,VelZ,LoRaRSSI,LoRaSNR,
21:41:30:65,2036,0.015459    0.013259   0.0013136     0.99979,-0.053986  -0.0029984     0.02623,0.1740423     -1.516873       178.226,-0.604     0.68164   0.0029221,24.80665      121.0487      71.33161,-0.065491    -0.28979    0.010284,-47,6.75,
21:41:30:96,2037,0.015845    0.018253 -8.4754e-05     0.99971,0.02243   -0.026611    0.012917,0.02344917     -2.091686      178.1835,-0.3269      1.2939    -0.81348,24.80665      121.0487      71.34309,-0.05368    -0.11224   0.0043335,-46,6.25,
21:41:31:27,2038,0.015676    0.024941 -5.1353e-05     0.99957,0.058624   -0.046356   -0.018585,0.03896776     -2.858088      178.2021,0.091431    -0.46899      1.0723,24.80665      121.0487      71.35024,-0.066284    0.031586  -0.0033321,-47,6.25,
21:41:31:58,2039,0.015711    0.026309   0.0018836     0.99953,0.06897   -0.013878   -0.015671,0.2634763       -3.0114      178.1921,-0.43115    -0.92578    -0.40845,24.80665      121.0487      71.35034,-0.11121    0.073242   0.0064774,-47,6.5,
21:41:31:89,2040,0.015853    0.025201   0.0022826     0.99955,0.02095 -5.5254e-05   -0.023972,0.30762     -2.883558       178.175,0.60303     -1.6729    -0.18799,24.80665      121.0487      71.35569,-0.12067    0.046478   0.0088882,-47,6,
21:41:32:20,2041,0.015745     0.02474   0.0034987     0.99956,-0.011269   0.0044861   -0.028809,0.4459281     -2.828597      178.1841,-0.21594     0.34082    -0.40479,24.80665      121.0487      71.35686,-0.11426    0.047974   0.0053749,-48,6,
21:41:32:51,2042,0.015794    0.023041   0.0030971     0.99961,-0.066162    0.020615    0.014992,0.3968799     -2.634612      178.1805,-0.82666     -1.1826     0.63086,24.80665      121.0487      71.36405,-0.1405    0.014847  -0.0035706,-47,6,
21:41:32:82,2043,0.015392    0.019404    0.003176     0.99969,0.086975   -0.014259    0.020187,0.3983557     -2.217825       178.228,-0.77734    -0.13953      1.1777,24.80665      121.0487      71.36651,-0.1554   0.0035267   -0.010071,-46,6.25,
21:41:33:14,2044,0.015746    0.016224   0.0064775     0.99972,-0.011696   -0.060547   -0.022079,0.7717624      -1.84724      178.1829,0.9502      3.7227     0.49438,24.80665      121.0487      71.37737,-0.080078    -0.20508    0.024887,-46,6.5,
21:41:33:45,2045,0.014813    0.021577   0.0089319     0.99962,0.0021229   -0.030441  -0.0072479,1.060787     -2.457204      178.2793,0.24707      1.6123     0.71143,24.80665      121.0487      71.38565,-0.048798    -0.60693    0.018753,-46,6.75,
21:41:33:76,2046,0.012479    0.027168    0.012872     0.99947,-0.0015688   -0.079712    0.066833,1.515497     -3.094651      178.5284,0.23193     0.87109     0.84619,24.80665      121.0487      71.39481,-0.014458     -1.1455    0.019775,-46,6.75,
21:41:34:07,2047,0.0065928    0.034358    0.018529     0.99922,-0.071655    -0.03714    0.045746,2.153133     -3.923113      179.1702,0.70801     -2.0195     0.38232,24.80665      121.0487      71.40986,0.058289     -1.8955    0.021225,-48,6.5,
21:41:34:38,2048,-0.014659    0.029239    0.014682     0.99936,-0.21313     0.05545     0.17798,1.635254     -3.375033     -178.3674,1.4844   -0.081604       1.417,24.80664      121.0487      71.41987,0.098755     -2.6641    0.036621,-47,6.5,
21:41:34:69,2049,-0.027159    0.012953    0.019248     0.99936,-0.050385    -0.12128   -0.042664,2.165218     -1.543407     -176.9157,-0.7666     -2.0723     -2.7031,24.80664      121.0487      71.42693,0.36841     -3.4453   0.0045242,-46,7,
21:41:35:00,2050,-0.020679    0.017056    0.032805      0.9991,0.34619  -0.0010738     0.11536,3.720385     -2.030875     -177.6946,-0.34253     -3.8926      2.0762,24.80663      121.0487       71.4677,0.38257     -4.3281     0.14282,-48,6.5,
21:41:35:31,2051,-0.025614   0.0048808    0.028595     0.99925,-0.082764    0.094177    0.030258,3.261975    -0.6428205     -177.0816,-0.47729     -4.1563    -0.33252,24.80662      121.0487      71.50851,0.41821     -5.2891    0.065369,-51,6.75,
21:41:35:62,2052,-0.020105   -0.014476    0.028831     0.99928,-0.14966    0.099365   -0.045319,3.337943      1.591429     -177.6484,-0.24731     -4.4961     -1.6973,24.8066      121.0487      71.57095,0.45801     -6.2578    0.097168,-53,6,
21:41:35:93,2053,-0.0039378   -0.032194    0.013234     0.99939,-0.44678    0.010536    -0.13074,1.533502      3.683492     -179.4992,0.93945     0.22583      1.1074,24.80659      121.0487      71.67137,0.37695     -7.0078     0.11572,-53,6.25,
21:41:36:25,2054,0.019626   -0.028652    0.024227      0.9991,0.30298   -0.023544    -0.12598,2.714874        3.3367      177.8284,-0.87451    -0.27197     -1.5918,24.80657      121.0488       71.7269,0.20105     -7.7617     0.10974,-58,6.5,
21:41:36:55,2055,0.033178   -0.023377    0.014441     0.99907,-0.056091   -0.068909   -0.044434,1.56636        2.7323      176.2333,-1.1133     -2.1191    -0.30249,24.80655      121.0488      71.83334,-0.068848     -8.5781    0.084778,-70,4.75,
21:41:36:87,2056,0.046866   -0.024075   0.0088809     0.99857,-0.36621   -0.091858    -0.12378,0.8880276      2.803626      174.6475,-1.1035     -3.3457      1.7012,24.80653      121.0488      71.94779,-0.2428     -9.2656     0.10651,-60,6.25,
21:41:37:18,2057,0.062332  -0.0015589    0.017838     0.99789,0.036835      -0.203    0.067017,2.029151     0.3056759      172.8569,0.15308      -0.979  9.4056e-05,7.861496511541031e+30      121.0487976074219      72.13841247558594,-0.43262     -9.8828     0.21729,-64,5.25,
21:41:37:49,2058,0.068371    0.025615    0.013447     0.99724,0.017532    -0.18115   0.0025711,1.739705     -2.822907      172.1129,-1.0625    -0.22034    -0.61475,24.80648      121.0488       72.2831,-0.549316     -10.4766     0.216797,-59,6,
21:41:37:80,2059,0.064448    0.037341    0.011516     0.99716,-0.074219 -0.00073624    0.020065,1.596105     -4.185421      172.5458,-0.96484      -1.625     -2.0156,24.80646      121.0488      72.47054,-0.584961          -11     0.216187,-56,6.5,
21:41:38:11,2060,0.062503    0.051422    0.013047     0.99663,-0.34351   -0.013756    0.033112,1.868218     -5.789041      172.7284,0.60889     -1.1445      1.6182,24.80643      121.0488       72.6722,-0.501465     -11.5234     0.195435,-60,6,
21:41:38:42,2061,0.05676    0.060612     0.02187     0.99631,0.52881     0.29272    0.032654,2.912787     -6.793579      173.3058,3.168     -1.1904     0.97852,24.8064      121.0489      72.81076,-0.421143     -12.0078     0.288086,-61,6,
