UTC(1),UTC(2),UTC(3),UTC(4),Pack_count(1),Pack_count(2),q0(1),q0(2),q0(3),q0(4),q1(1),q1(2),q1(3),q1(4),q2(1),q2(2),q2(3),q2(4),q3(1),q3(2),q3(3),q3(4),RollRate(1),RollRate(2),PitchRate(1),PitchRate(2),YawRate(1),YawRate(2),FreeAccX(1),FreeAccX(2),FreeAccY(1),FreeAccY(2),FreeAccZ(1),FreeAccZ(2),Lat(1),Lat(2),Lat(3),Lat(4),Long(1),Long(2),Long(3),Long(4),Height(1),Height(2),Height(3),Height(4),VelX(1),VelX(2),VelY(1),VelY(2),VelZ(1),VelZ(2),LoRaRSSI,LoRaSNR,
13,37,6,96,4,164,63,127,202,164,58,33,108,128,186,31,114,72,189,37,58,124,15,19,30,252,154,242,149,211,161,82,28,35,65,198,116,41,66,242,25,2,66,144,79,39,157,247,164,208,31,120,-69,5.25,
13,37,7,27,4,165,63,127,202,227,58,35,20,64,186,25,249,192,189,36,219,177,22,220,25,17,27,106,31,133,163,24,17,220,65,198,116,41,66,242,25,2,66,144,76,80,157,181,164,230,25,179,-69,5.25,
13,37,7,58,4,166,63,127,202,185,58,30,241,0,186,15,121,88,189,37,27,50,16,39,29,219,152,145,161,87,164,48,25,213,65,198,116,41,66,242,25,2,66,144,72,249,158,159,164,232,148,32,-69,5.00,
13,37,7,89,4,167,63,127,202,217,58,30,89,0,186,25,38,144,189,36,235,178,22,123,24,183,28,73,156,125,160,245,28,245,65,198,116,41,66,242,25,2,66,144,71,197,159,101,165,0,155,102,-69,5.00,
13,37,8,21,4,168,63,127,202,244,58,27,222,128,186,25,162,64,189,36,191,17,18,97,31,132,157,43,156,199,158,250,20,199,65,198,116,41,66,242,25,2,66,144,78,60,160,109,164,113,21,255,-69,5.00,
13,37,8,51,4,169,63,127,203,73,58,28,25,192,186,34,75,208,189,36,57,206,20,206,27,12,20,204,23,80,160,144,27,37,65,198,116,41,66,242,25,2,66,144,77,2,160,165,164,132,141,48,-70,5.00,
13,37,8,83,4,170,63,127,203,160,58,36,87,192,186,40,156,64,189,35,177,19,18,170,30,225,156,171,158,24,161,27,146,116,65,198,116,41,66,242,25,2,66,144,82,17,160,231,164,148,18,146,-69,4.75,
13,37,9,14,4,171,63,127,203,198,58,39,60,128,186,41,108,208,189,35,117,84,21,87,25,176,25,109,145,48,161,89,30,163,65,198,116,41,66,242,25,2,66,144,88,44,161,112,164,192,28,246,-69,5.00,
13,37,9,45,4,172,63,127,203,139,58,35,8,192,186,28,105,248,189,35,209,243,21,66,26,126,25,21,135,67,160,236,31,10,65,198,116,41,66,242,25,2,66,144,89,21,162,10,164,173,27,156,-69,4.75,
13,37,9,76,4,173,63,127,203,210,58,31,19,128,186,35,67,184,189,35,101,8,10,255,29,171,152,176,160,140,156,251,138,0,65,198,116,41,66,242,25,2,66,144,95,81,161,208,163,244,26,133,-70,4.75,
13,37,10,7,4,174,63,127,204,46,58,28,219,192,186,36,133,72,189,34,209,198,20,162,25,192,25,109,154,4,159,71,27,1,65,198,116,41,66,242,25,2,66,144,99,88,162,85,163,170,25,191,-69,4.50,
13,37,10,38,4,175,63,127,204,96,58,27,39,64,186,39,189,168,189,34,134,22,9,164,29,156,154,129,157,111,158,27,145,8,65,198,116,41,66,242,25,2,66,144,103,47,162,205,163,184,25,42,-70,4.75,
13,37,10,69,4,176,63,127,204,78,58,29,76,0,186,37,162,224,189,34,160,112,23,82,26,58,25,96,156,12,162,179,33,212,65,198,116,41,66,242,25,2,66,144,106,208,163,54,163,200,27,146,-70,4.75,
