UTC,Pack_count,q0,q1,q2,q3,RollRate,PitchRate,YawRate,Roll,Pitch,Yaw,FreeAccX,FreeAccY,FreeAccZ,Lat,Long,Height,VelX,VelY,VelZ,LoRaRSSI,LoRaSNR,
22:56:04:35,1022,0.99983   0.0011512  6.1004e-05    0.018203,0.0016155   0.0081253 -0.00063658,0.13202   0.0045882       2.086,-0.022034   -0.020523    0.020172,24.78594      120.9975      163.3547,0.06143188     0.2585449      163.3547,-48,6.25,
22:56:04:80,1023,0.99983   0.0012334 -1.0521e-05    0.018201,0.00088358   0.0047913 -0.00097227,0.1413   -0.003778      2.0858,-0.0072746   -0.013779  -0.0093155,24.78594      120.9975      163.3199,0.05969238     0.2548828      163.3199,-48,6,
22:56:05:24,1024,0.9969   0.0012636 -0.00010764    0.018506,0.00016069   0.0053711   -0.085693,0.14497   -0.015065       2.127,-0.0039711   -0.012283    0.015343,24.78887      72.99747      163.8282,0.05725098     0.2502441      163.8282,-50,2,
22:56:05:68,1025,0.99983   0.0013087   -0.000215    0.018666,-0.00033236   0.0055389 -0.00060272,0.14948   -0.027432       2.139,-0.01178   -0.014168   -0.023346,24.78594      120.9975      163.3121,0.06072998     0.2486572      163.3121,-51,6.5,
22:56:06:13,1026,0.99982   0.0013046  -0.0001836    0.018912,0.00020409   0.0062408 -0.00028944,0.14907   -0.023862      2.1673,-0.016068   -0.013535  -0.0024147,24.78594      120.9975      163.2957,0.06787109     0.2509766      163.2957,-51,6.25,
22:56:06:57,1027,0.99982   0.0013028 -0.00018709    0.018744,0.00050592   0.0068817 -0.00021887,0.14886   -0.024234      2.1479,-0.010628   -0.006443   0.0086746,24.78593      120.9975      163.2379,0.07244873      0.251709      163.2379,-51,6.5,
22:56:07:01,1028,0.99982   0.0013042 -0.00015618    0.018679,-0.00050259   0.0060616  2.7716e-05,0.14909   -0.020686      2.1405,-0.0035858   -0.022751    0.027863,24.78593      120.9975      163.1796,0.07385254     0.2489014      163.1796,-50,6.5,
22:56:07:46,1029,0.99982   0.0013229 -0.00014608     0.01879,0.0015335   0.0051041  -0.0012302,0.15125   -0.019585      2.1533,-0.0060768   -0.009964 -8.1062e-05,24.78593      120.9975      163.1765,0.07061768     0.2404785      163.1765,-51,6.5,
22:56:07:91,1030,0.99982   0.0013195 -6.3038e-05    0.018931,0.0021381   0.0052338 -2.4438e-05,0.15104   -0.010085      2.1695,-0.032959  -0.0064011    0.070068,24.78593      120.9975      163.1454,0.06585693     0.2322998      163.1454,-51,6.25,
22:56:08:35,1031,0.99981    0.001287  2.7213e-05    0.019247,-0.0006361   0.0075645  1.8597e-05,0.14752  0.00027923      2.2057,-0.0080414   -0.010818   -0.019165,24.78592      120.9975      163.1583,0.06088257     0.2226563      163.1583,-51,6.25,
22:56:08:79,1032,0.99981   0.0013114  6.7752e-05    0.019232,0.0019722    0.010742  0.00016141,0.15039   0.0048724      2.2039,-0.015869  -0.0073357    0.020416,24.78592      120.9975        163.14,0.05801392     0.2163086        163.14,-51,7.25,
22:56:09:24,1033,0.99981   0.0012972  4.3671e-05    0.019204,0.0011806      0.0056  -0.0011578,0.14871   0.0021489      2.2008,-0.010368    -0.01796  -0.0069656,24.78592      120.9975      163.1156,0.0552063     0.2110596      163.1156,-51,6.5,
22:56:09:68,1034,0.99982   0.0013203 -9.3876e-06    0.019151,0.0022316   0.0035343 -0.00012958,0.15124  -0.0039729      2.1947,-0.0054092   -0.021927   0.0048599,24.78592      120.9975      163.0944,0.05194092     0.2061768      163.0944,-50,6.75,
22:56:10:12,1035,0.99982   0.0012953 -1.3893e-05     0.01906,0.0015764   0.0027618 -0.00093365,0.14837  -0.0044207      2.1842,-0.01947  -0.0054436   -0.016586,24.78592      120.9975      163.0916,0.05062866     0.2012939      163.0916,-50,6,
22:56:10:57,1036,0.99981   0.0012475  3.2783e-05    0.019604,-0.001873    0.007103 -2.7001e-05,0.143  0.00095347      2.2466,-0.0073662  -0.0074425  -0.0056763,24.78592      120.9975      163.0775,0.05093384     0.1981201      163.0775,-50,5.75,
