UTC	Pack_count	q0	q1	q2	q3	RollRate	PitchRate	YawRate	Roll	Pitch	Yaw	FreeAccX	FreeAccY	FreeAccZ	Lat	Long	Height	VelX	VelY	VelZ	LoRaRSSI	LoRaSNR
30:02:13:15	228	-0.8642	-0.00087598	-0.00028042	0.50314	0.0020275	0.007431	-0.0035267	0.07058	0.0782759	-60.4164	0.00024724	-0.010925	-0.0090714	22.17494	120.8926	31.42645	-0.003273	0.0010977	0.0006876	-97	3
30:02:13:35	229	-0.86421	-0.00085815	-0.00026731	0.50313	0.0004046	0.007431	-0.0016785	0.0695726	0.0759484	-60.4142	-0.0066605	-0.020844	-0.011887	22.17494	120.8926	31.38869	-0.0026054	0.00089025	-0.0057411	-97	2.75
30:02:13:54	230	-0.86424	-0.00087375	-0.00029956	0.50308	0.00031877	0.0091324	-0.0043831	0.0692621	0.0800371	-60.408	-0.0033855	0.0091476	0.0018778	22.17494	120.8926	31.40143	-0.0013304	0.00018036	-0.0048065	-98	3
30:02:13:74	231	-0.86424	-0.00084257	-0.00028989	0.50308	0.0028095	0.0039177	0.00099754	0.0667314	0.077283	-60.4084	-0.039551	0.018738	0.012962	22.17494	120.8926	31.40756	-0.0042343	0.00020969	-0.0055771	-97	3
30:02:13:93	232	-0.86415	-0.00082082	-0.00026479	0.50323	0.0017614	0.0072212	-0.0054131	0.0660116	0.0735545	-60.428	0.0041351	-0.033508	-0.014877	22.17494	120.8926	31.41854	-0.0024796	0.0010452	-0.0049019	-97	2.5
30:02:14:13	233	-0.86412	-0.00083482	-0.00028279	0.50328	0.0024548	0.0038757	0.0018044	0.0663563	0.076148	-60.434	0.0097733	-0.023392	-0.014526	22.17494	120.8926	31.42301	-0.0016508	0.0017042	-0.0021114	-97	2.75
30:02:14:33	234	-0.8641	-0.00081264	-0.00034372	0.50332	0.0016165	0.0072556	-0.0052261	0.0606427	0.0809043	-60.4394	-0.028427	-0.00033092	0.00028896	22.17494	120.8926	31.38743	-0.0026474	0.0012474	-0.0085449	-97	2.75
30:02:14:52	235	-0.86421	-0.00079506	-0.00031856	0.50314	0.0035477	0.0034542	-7.10E-05	0.060369	0.0773866	-60.4158	-0.042755	0.0024529	0.0083466	22.17494	120.8926	31.39869	-0.0038605	0.00039721	-0.0028477	-97	3
30:02:14:72	236	-0.86409	-0.00082449	-0.00027393	0.50334	0.0046196	0.0040588	-0.0029049	0.0658387	0.074679	-60.4426	-0.0062141	-0.0095215	0.00034046	22.17494	120.8926	31.40889	-0.0026436	0.00054979	-0.0032997	-97	2.75
30:02:14:91	237	-0.86409	-0.00083537	-0.00026227	0.50334	0.0055428	0.0029335	-0.0030212	0.0675884	0.0741518	-60.4425	-0.026306	0.0030212	0.0016985	22.17494	120.8926	31.41677	-0.003027	0.0013704	-0.0033569	-97	2.75
30:02:15:11	238	-0.86409	-0.00080497	-0.00023878	0.50333	0.003849	0.0053558	-0.0028114	0.0659341	0.0700727	-60.4414	-0.04184	-0.027527	-0.0055351	22.17494	120.8926	31.38565	-0.0042915	0.0002625	-0.010406	-97	2.5
30:02:15:31	239	-0.86403	-0.00078326	-0.00034554	0.50345	0.0023861	0.0037479	0.0015535	0.0576169	0.0793987	-60.4566	-0.045471	0.016342	0.013077	22.17494	120.8926	31.39558	-0.0033092	0.0010405	-0.0098877	-97	2.5
30:02:15:50	240	-0.86404	-0.00076357	-0.00030789	0.50343	0.00019562	0.0076294	0.0010214	0.0578405	0.0745335	-60.454	-0.017853	-0.017242	0.0028973	22.17494	120.8926	31.40808	-0.0015726	0.0012474	-0.0078049	-97	2.75
30:02:15:70	241	-0.86391	-0.00078133	-0.00025914	0.50365	0.0069542	0.0023689	-0.0042725	0.0623927	0.0707475	-60.4837	-0.045532	-0.041351	-0.0018597	22.17494	120.8926	31.41681	-0.0020142	0.0022144	-0.0051994	-97	2.75
30:02:15:89	242	-0.8639	-0.00079539	-0.00027139	0.50367	0.0067787	0.00080681	-0.0016632	0.0630764	0.072774	-60.4861	-0.047241	0.020523	0.013847	22.17494	120.8926	31.43333	-0.0014629	0.0022488	-0.0007	-98	2.5
30:02:16:09	243	-0.86387	-0.00080102	-0.0003211	0.50372	0.00038266	0.0087509	-0.002924	0.06076	0.078022	-60.4922	-0.0078659	0.006176	-0.0023232	22.17494	120.8926	31.39814	-0.00033236	0.0020714	-0.0075989	-98	2.5
30:02:16:28	244	-0.86393	-0.00079443	-0.00025544	0.50361	0.0028839	0.0059357	-0.00078583	0.0639062	0.0711344	-60.478	-0.0029354	-0.031403	-0.010147	22.17494	120.8926	31.40907	0.00053978	0.00051069	-0.0050812	-97	2.75
30:02:16:48	245	-0.86393	-0.00080274	-0.00029193	0.50361	0.0053787	0.0054626	-0.0064888	0.0626244	0.0752263	-60.4776	-0.044128	0.0047531	0.015381	22.17494	120.8926	31.42067	-5.88E-05	0.0014696	-0.0045204	-97	3
30:02:16:68	246	-0.86393	-0.00080836	-0.00023752	0.50361	0.0074043	-0.00018132	-0.0010395	0.0663201	0.0701645	-60.4777	-0.019775	0.021576	0.010345	22.17494	120.8926	31.42873	-0.00037527	0.0011196	-0.0044518	-97	2.75
