UTC,Pack_count,q0,q1,q2,q3,RollRate,PitchRate,YawRate,Roll,Pitch,Yaw,FreeAccX,FreeAccY,FreeAccZ,Lat,Long,Height,VelX,VelY,VelZ,LoRaRSSI,LoRaSNR,
20:58:41:66,0,0.99286   -0.015175    0.022174    -0.11625,-0.027435   -0.039673     0.38989,-2.02401      2.32129     -13.3978,0.48975      1.6748     -1.0303,24.80716      121.0242      51.55797,0.244629    -0.489746       51.558,-42,6.5,
20:58:41:97,0,0.99794   -0.012811    0.024277   -0.057921,0.036011   -0.018936     0.34521,-1.6281      2.6921     -6.6818,-0.24219     0.31641     -1.0537,24.80716      121.0242      51.57296,0.311279    -0.381348       51.573,-40,6.25,
20:58:42:28,0,0.99951   -0.013926    0.027176  -0.0070265,-0.090759    0.082092     0.31323,-1.6195      3.1029    -0.84943,0.36841     -1.4326     0.40088,24.80716      121.0242      51.57179,0.365723     -0.29126      51.5718,-37,6.5,
20:58:42:59,0,0.999    -0.01106    0.028786    0.032379,0.20032   -0.084106     0.20715,-1.1613      3.3383       3.679,-0.65234      1.3496     0.15259,24.80716      121.0242      51.58306,0.211182    -0.220703      51.5831,-36,6.5,
20:58:42:91,0,0.99814   -0.006144    0.019705    0.057339,0.058533   -0.071411     0.11835,-0.57374      2.2949      6.5641,-0.56787     0.76953     0.61816,24.80716      121.0242      51.59566,0.153198   -0.0999146      51.5957,-36,6.5,
20:58:43:22,0,0.99727  -0.0042393    0.014068    0.072398,0.17249   -0.030975     0.10626,-0.36791       1.643      8.2991,0.40674    -0.19653      -1.917,24.80716      121.0242      51.59148,0.171997     -0.13855      51.5915,-35,6.5,
20:58:43:53,0,0.99582   0.0025334   0.0042013    0.091183,0.005558   -0.064941     0.14465,0.333008     0.452961      10.4648,1.957     0.84277      1.7451,24.80716      121.0242      51.61837,0.254883    -0.233521      51.6184,-33,5.75,
20:58:43:84,0,0.99416   0.0072458  -0.0012415     0.10762,-0.16528  -0.0048943     0.12323,0.810179    -0.230794      12.3555,1.0615     -3.2559     0.69629,24.80716      121.0242      51.62243,0.462158    -0.258057      51.6224,-33,6,
20:58:44:15,0,0.99239  0.00084116  -0.0012135      0.1231,-0.15063   -0.016953    0.074402,0.0785385     -0.14987      14.1415,0.15637      1.8213      0.8335,24.80716      121.0242      51.61755,0.668945    -0.310303      51.6175,-35,7,
20:58:44:46,0,0.99134  -0.0068336  -0.0037251     0.13112,-0.14502   -0.049408     0.06897,-0.832299    -0.320487      15.0716,0.81836    -0.95703     0.75195,24.80715      121.0242      51.61152,0.848633    -0.577148      51.6115,-32,6,
20:58:44:77,0,0.99106   0.0014437   -0.011788     0.13291,-0.091919    -0.35742    0.045105,-0.015589     -1.36089      15.2767,0.29834      1.7734      2.5879,24.80715      121.0242      51.62472,1.00977    -0.810547      51.6247,-33,6.25,
20:58:45:08,0,0.99227    0.016562   -0.026691     0.12009,-0.30127    -0.19177    -0.19861,1.51846     -3.26457      13.7586,1.832    -0.31567    -0.57861,24.80715      121.0242      51.63776,1.2998     -0.96582      51.6378,-35,6.5,
20:58:45:39,0,0.99751    0.012994   -0.027324    0.063751,0.10797    0.062561    -0.39282,1.2879       -3.22      7.2775,0.64355     -2.9609    -0.39404,24.80715      121.0242       51.6447,1.61133     -1.36914      51.6447,-40,6.25,
20:58:45:71,0,0.99981     0.00172   -0.019198   0.0028396,-0.08606     0.02919    -0.32837,0.19096     -2.2006     0.32178,-0.28711     -1.9893      1.3672,24.80715      121.0242      51.66413,1.81055     -1.84473      51.6641,-49,6.25,
20:58:46:01,0,0.99974  0.00069461    -0.01581   -0.016652,0.4187    0.043823    -0.11414,0.1098     -1.8102     -1.9102,1.0557     -1.0645    -0.54199,24.80715      121.0242      51.73105,2.03711     -2.47852      51.7311,-47,6.5,
20:58:46:33,0,0.99925   0.0011028   -0.013582   -0.036337,0.12195   -0.037323    -0.14343,0.1829     -1.5508     -4.1677,-1.7715     -4.6406       -3.25,24.80714      121.0242      51.76275,2.24023     -2.94922      51.7628,-59,5.75,
20:58:46:64,0,0.99915  -0.0083219   -0.016045    -0.03697,-0.021927     0.14001   -0.080444,-0.88534     -1.8726     -4.2236,0.81787     -3.9531    -0.95215,24.80714      121.0242      51.81074,2.60156     -3.47852      51.8107,-58,6,
20:58:46:95,0,0.99844   0.0013594   -0.024482   -0.050081,-0.056671   -0.027359    -0.22754,0.29638     -2.7944     -5.7502,3.3516     -0.3147     0.75537,24.80713      121.0242       51.8856,2.91797     -3.95117      51.8856,-69,4,
20:58:47:26,0,0.99735   -0.025188    0.007134   -0.067887,0.43994     0.64502    0.014175,-2.9357     0.61939     -7.8038,-0.5957     -2.7598     -8.3359,24.80713      121.0242      51.97977,3.25     -4.62891      51.9798,-68,4,
20:58:47:57,0,0.99872    -0.02218   0.0094524   -0.044533,-0.2981    -0.02124     0.11975,-2.5878     0.96864     -5.1281,0.52441     -2.8027     -1.4629,24.80712      121.0243      52.03531,3.5625     -5.06641      52.0353,-68,5,
20:58:47:88,0,0.99928  -0.0068892  -0.0053118   -0.036894,0.060333   -0.081116   -0.024994,-0.76649    -0.63739     -4.2246,0.96338    -0.69385      3.0566,24.80711      121.0243      52.10602,4.01563     -5.54297       52.106,-66,5.5,
20:58:48:19,0,0.9991 -0.00020749    -0.01636   -0.039054,0.31934    0.055145   -0.088074,0.049486     -1.8743     -4.4778,-0.56348     -3.9492   -0.016327,24.8071      121.0243      52.17441,4.46875     -6.16406      52.1744,-74,1.25,
20:58:48:51,0,0.99877  -0.0064913   -0.016533   -0.046208,-0.4563    -0.12988   -0.065308,-0.65578      -1.927     -5.2868,0.93066     -3.8711      0.5708,24.80709      121.0243      52.26895,4.79297     -6.58984       52.269,-68,5,
20:58:48:82,0,0.99877  -0.0010121  -0.0090268   -0.048822,0.26221     0.15808   -0.058136,-0.065342     -1.0388     -5.5965,-0.84961     -2.6211     0.44019,24.80707      121.0243      52.36766,5.18359     -7.30469      52.3677,-65,5.5,
20:58:49:13,0,0.9986   -0.012317  -0.0017243   -0.051509,0.24231     0.10828    -0.03038,-1.3995    -0.27001     -5.9023,0.57471      -4.125     0.73145,24.80706      121.0244      52.50664,5.52734     -7.82422      52.5066,-70,3.75,
20:58:49:44,0,0.99875   -0.013115   0.0087624   -0.047474,0.4917     0.32275    0.024933,-1.5491     0.93153     -5.4554,0.21545      1.9658   0.0026493,24.80704      121.0244      52.68365,5.92969      -8.3125      52.6837,-69,4,
20:58:49:75,0,0.99858    -0.03173   0.0048414   -0.042445,-0.61279   -0.036377    0.023483,-3.657     0.39967     -4.8806,1.6357     -3.6953      1.6348,1625753.25       121.0243988      52.826137543,6.3125     -8.61719      52.8261,-73,2.25,
20:58:50:06,0,0.99882   -0.025854   0.0068724   -0.040481,-0.28857    0.052673    0.050201,-2.9926     0.66667     -4.6591,3.9238     0.11469     -1.6357,24.80701      121.0244      52.99116,6.66406     -9.07813      52.9912,-73,2,
20:58:50:37,0,0.9992   -0.014731   -0.011901   -0.035139,-0.25317     0.10944   -0.010475,-1.6395     -1.4222     -4.0078,3.4492     -2.2734     0.89795,24.80699      121.0245      53.15718,7.03125     -9.47656      53.1572,-75,-3.5,
20:58:50:68,0,0.99911   0.0042264  -0.0044992   -0.041763,0.080017      0.1012   -0.035156,0.50543    -0.49489     -4.7894,-1.4268    -0.79395      1.4434,24.80697      121.0245      53.36043,7.23047       -9.875      53.3604,-72,2.25,
20:58:51:00,0,0.9994  -0.0027102 -6.8182e-05   -0.034089,0.38867    0.092834   -0.023773,-0.31012   -0.018396     -3.9071,0.18201      0.8833    -0.94287,24.80695      121.0245      53.60381,7.58984     -10.3047      53.6038,-74,1,
20:58:51:30,0,0.99936  -0.0097694  -0.0075949   -0.033506,-0.45386    0.012131   -0.020477,-1.0898    -0.90731     -3.8319,1.1816     -3.5508     0.30054,2021010.875  1.5275445946e-27      54.824813843,7.88672     -10.6406      54.8248,-72,0.25,
20:58:51:62,0,0.99934   -0.015282  -0.0029655   -0.032789,-0.12695      0.1355   0.0027275,-1.7392    -0.39702     -3.7525,2.8223     -1.2627      3.9434,24.80691      121.0246      54.06661,8.16406          -11      54.0666,-69,4.5,
20:58:51:92,0,0.99943   -0.015106   0.0089852   -0.029001,0.12952     0.26782    0.041504,-1.7604     0.97889     -3.3393,1.5801     0.86621     -1.6807,24.80688      121.0246      54.15276,8.45313     -11.3672      54.1528,-72,2,
20:58:52:24,0,0.99951   -0.018544   0.0023299   -0.025279,-1.1162     -0.6499    0.014801,-2.1312     0.21313     -2.9015,1.64063     -4.11719      10.1406,24.80686      121.0247      54.29899,8.58594     -11.5078       54.299,-75,-0.5,
20:58:52:55,0,0.99963  -0.0070904   0.0091383   -0.024738,0.30396  -0.0083542     0.91064,-0.83826      1.0267     -2.8428,-0.0045967     -0.2135      6.1523,24.80684      121.0247      54.50007,8.875     -11.9688      54.5001,-78,-7.25,
20:58:52:86,0,0.99974  -0.0052402   0.0036551   -0.021845,0.45142    -0.36084   -0.022293,-0.60951     0.40562     -2.5057,1.4365      4.2148     -0.2854,24.80681      121.0247      54.69613,9.1875     -12.2656      54.6961,-76,-1.5,
20:58:53:17,0,0.99972   -0.011159   0.0044381   -0.020466,0.17407    0.016724    0.015121,-1.289     0.48226      -2.351,-0.045349     -1.7129     0.92285,24.80679      121.0248      54.87803,9.45313     -12.5469       54.878,-73,2,
20:58:53:48,0,0.9996468424797058   -0.01606303080916405  -2.01732581092503e+31   -0.02042976021766663,0.31616     0.16541   -0.012657,180 -5.678363e-30           180,0.073486     -2.9453     0.81055,24.8068      60.5119  7.50483e-16,9.7421875          -2270  7.5048321e-16,-77,-10.25,
20:58:53:79,0,0.99967   -0.016668   0.0042146   -0.018881,-0.029251      0.1333   -0.014748,-1.9189     0.44674     -2.1715,1.3018    -0.42969     -4.8984,24.80673      121.0249      55.29997,9.9375     -13.0078         55.3,-77,-3.5,
