UTC	Pack_count	q0	q1	q2	q3	RollRate	PitchRate	YawRate	Roll	Pitch	Yaw	FreeAccX	FreeAccY	FreeAccZ	Lat	Long	Height	VelX	VelY	VelZ	LoRaRSSI	LoRaSNR
20:46:08:22	0	0.99994	-0.0050739	-0.0039406	-0.0087681	-0.022675	0.059692	-0.042633	-0.57746	-0.45664	-1.0025	1.0098	0.34546	2.5234	24.80709	121.0243	45.23232	4.1875	-5.42188	45.2323	-55	6.25
20:46:08:53	0	0.99969	-0.018864	0.0047676	-0.015693	-0.12231	-0.017136	0.011009	-2.1701	0.51224	-1.8084	0.65039	-1.9521	-0.71191	24.80708	121.0243	45.34966	4.42969	-5.87891	45.3497	-58	5.75
20:46:08:84	0	0.99965	-0.018295	0.01395	-0.012973	0.11755	0.13928	-0.026947	-2.1177	1.571	-1.5161	0.23743	2.6074	-0.271	24.80707	121.0243	45.46213	4.75781	-6.19922	45.4621	-61	6.5
20:46:09:16	0	0.99872	-0.042316	0.025392	-0.011307	0.053619	0.16284	0.026886	-4.8877	2.8524	-1.419	0.4873	-6.793	3.6953	24.80706	121.0244	45.57481	5.09375	-6.59766	45.5748	-64	5.5
20:46:09:47	0	0.99857	-0.04153	0.033499	0.0020803	-0.63379	-0.23462	0.1322	-4.7604	3.846	0.078796	1.165	-4.6289	3.2871	24.80704	121.0244	45.69562	5.3125	-6.72656	45.6956	-60	5.75
20:46:09:78	0	0.99908	-0.028127	0.02859	0.015014	0.29395	0.041412	0.03363	-3.178	3.3234	1.6298	1.2607	0.066895	-0.2124	24.80703	121.0244	45.86143	5.82422	-7.09766	45.8614	-60	6.25
20:46:10:09	0	0.99904	-0.028292	0.021194	0.025958	0.1449	-0.06015	0.099609	-3.1805	2.5113	2.9071	0.59766	0.083557	0.49634	24.80701	121.0244	45.98349	6.07031	-7.26172	45.9835	-60	6.25
20:46:10:40	0	0.99933	-0.0040268	-0.010103	0.035013	-0.16052	-0.22241	-0.035828	-0.50177	-1.1408	4.0182	-0.74023	-1.4307	0.66504	24.807	121.0244	46.11415	6.32813	-7.44141	46.1142	-65	5.75
20:46:10:71	0	0.99971	-0.0013873	-0.0094645	0.022111	0.094421	0.17175	0.014633	-0.18294	-1.0808	2.5357	-1.4795	-2.5664	0.02597	24.80698	121.0245	46.21966	6.49219	-7.83594	46.2197	-67	5.5
20:46:11:02	0	0.99979	-0.0016219	-0.013236	0.015369	-0.13733	0.077148	-0.09436	-0.2092	-1.5138	1.7642	0.45142	-3.1914	-1.7422	24.80696	121.0245	46.30668	6.62109	-8.07813	46.3067	-69	4.25
20:46:11:33	0	0.99993	0.0016789	-0.0055053	0.010303	-0.08905	0.1012	0.00052214	0.18589	-0.63281	1.1796	-0.44922	0.30762	0.53906	24.80695	121.0245	46.42834	6.70703	-8.42188	46.4283	-66	5.75
20:46:11:64	0	0.99992	-0.0082187	-0.0084233	0.0046816	0.34082	0.025818	-0.040588	-0.94642	-0.9608	0.54445	-0.25	-2.8184	2.6055	24.80693	121.0246	46.54057	6.82813	-8.77344	46.5406	-64	5.5
20:46:11:96	0	0.99986	-0.016712	-0.00068587	-0.00048315	-0.16943	0.056946	-0.034363	-1.9151	-0.079509	-0.054044	3.7383	-1.6719	-1.2109	24.80691	121.0246	46.62192	6.99609	-8.92188	46.6219	-70	4.25
20:46:12:26	0	0.99989	-0.012017	0.0075999	0.0038007	-0.20264	0.2666	0.074341	-1.3739	0.87605	0.42507	1.7588	1.2637	1.9121	24.80689	121.0246	46.74828	7.16797	-9.17969	46.7483	-66	5.5
20:46:12:58	0	0.99994	-0.0087422	0.0027115	0.0059801	0.092285	0.18665	0.0046921	-0.99993	0.31668	0.68254	1.623	0.89453	0.72998	24.80688	121.0246	46.92831	7.32031	-9.32031	46.9283	-70	3.5
20:46:12:89	0	0.99993	-0.011118	0.0038577	0.0032391	-0.92432	-0.44971	0.0021248	-1.2727	0.44615	0.36624	1.1943	-1.2979	2.5273	24.80685	121.0247	47.11927	7.35547	-9.38281	47.1193	-71	3.75
20:46:13:20	0	0.99991	-0.0033052	0.012971	0.0018723	0.48926	0.37183	-0.034821	-0.37606	1.4871	0.20969	0.77393	3.5293	-1.7686	24.80684	121.0247	47.32845	7.67969	-9.6875	47.3284	-76	-1.75
20:46:13:51	0	0.9994	-0.035298	0.0059818	0.00779	-0.4939	0.18335	0.068542	-4.0401	0.71647	0.86791	2.9551	-3.793	1.0996	24.80681	121.0247	47.54499	7.82813	-9.83594	47.545	-74	0.75
