UTC	Pack_count	q0	q1	q2	q3	RollRate	PitchRate	YawRate	Roll	Pitch	Yaw	FreeAccX	FreeAccY	FreeAccZ	Lat	Long	Height	VelX	VelY	VelZ	LoRaRSSI	LoRaSNR
21:08:43:69	0	0.99868	0.0030089	-0.003208	-0.051261	-0.022873	-0.011627	0.0026932	0.36319	-0.34945	-5.8778	1.6826	0.082581	0.29126	24.80712	121.0242	57.23859	0.175903	-0.228027	57.2386	-39	6
21:08:44:00	0	0.99872	0.0026262	-0.0021261	-0.050458	-0.0007782	0.042572	-0.013626	0.31285	-0.22814	-5.7851	-0.11761	-0.91699	-0.93945	24.80712	121.0242	57.20066	0.13916	-0.203491	57.2007	-39	6
21:08:44:32	0	0.99873	0.00055358	-0.00034807	-0.05043	0.017578	0.0046692	0.016769	0.065366	-0.036636	-5.7813	-0.83594	1.0586	0.74756	24.80712	121.0242	57.191	0.133789	-0.183594	57.191	-39	5.75
21:08:44:63	0	0.99874	0.00071789	0.00047787	-0.050187	-0.014236	0.014595	-0.0071297	0.079412	0.058819	-5.7534	0.14624	-0.68115	-1.0693	24.80712	121.0242	57.18256	0.101685	-0.187622	57.1826	-38	6
21:08:44:94	0	0.99873	0.0023305	-0.0014874	-0.05038	0.0051765	-0.0062904	0.007103	0.2753	-0.15677	-5.7759	0.15906	0.27905	0.051483	24.80712	121.0242	57.17455	0.0750122	-0.17334	57.1746	-39	6.25
21:08:45:25	0	0.99873	0.0026078	-0.0027937	-0.050188	0.027054	-0.0016394	0.0024548	0.31453	-0.30473	-5.7544	0.015213	0.0020847	0.092102	24.80712	121.0242	57.13174	0.0759888	-0.145264	57.1317	-38	6
21:08:45:56	0	0.99874	0.0025074	-0.0030879	-0.050075	-0.007328	0.005661	0.00045896	0.30469	-0.33902	-5.7415	0.062866	-0.084473	-0.0039043	24.80712	121.0242	57.10991	0.0761108	-0.149658	57.1099	-39	6.25
21:08:45:87	0	0.99875	0.0028313	-0.0037399	-0.049856	-0.014122	-0.013535	0.0024986	0.34541	-0.41185	-5.7168	0.081299	0.086243	-0.020798	24.80712	121.0242	57.11296	0.0718994	-0.152222	57.113	-40	6.25
21:08:46:18	0	0.99875	0.0021578	-0.0024217	-0.049871	0.0011988	0.018997	0.0034275	0.2608	-0.26483	-5.7178	-0.018585	0.10236	0.019882	24.80712	121.0242	57.09984	0.0744629	-0.133057	57.0998	-40	5.75
21:08:46:49	0	0.99876	0.0012392	-0.0014984	-0.049731	0.011757	-0.0037918	0.0027008	0.15036	-0.16443	-5.7013	-0.04953	-0.066345	0.033203	24.80713	121.0242	57.05907	0.043396	-0.123108	57.0591	-40	6.75
21:08:46:80	0	0.99876	0.0012162	-0.0019246	-0.049784	-0.0064888	-0.0026512	0.0040855	0.15017	-0.21333	-5.7075	-0.023132	-0.053894	0.0098648	24.80713	121.0242	57.03875	0.0389709	-0.116821	57.0387	-39	6
21:08:47:12	0	0.99876	0.0023049	-0.0031013	-0.049712	0.0039978	-0.0063057	0.003746	0.28147	-0.34181	-5.6998	-0.043182	0.010223	-0.013504	24.80713	121.0242	57.05375	0.0250244	-0.117859	57.0538	-39	6
21:08:47:42	0	0.99874	0.0034321	-0.0056425	-0.049682	0.0034637	0.055481	9.63E-05	0.42495	-0.62624	-5.698	0.52539	0.087219	0.21802	24.80713	121.0242	57.05924	0.0509644	-0.109009	57.0592	-39	5.75
21:08:47:74	0	0.99874	0.0040134	-0.0052178	-0.04977	-0.017319	-0.018723	0.0031471	0.48911	-0.57428	-5.7082	0.037445	0.34302	0.098877	24.80713	121.0242	57.02595	0.00708389	-0.0916138	57.026	-39	5.5
21:08:48:05	0	0.99876	0.0013915	-0.0029114	-0.049622	0.013283	0.022247	-0.0025787	0.17582	-0.3253	-5.6892	-0.13733	-0.29517	0.64258	24.80713	121.0242	57.02087	0.0375977	-0.0825806	57.0209	-39	6
21:08:48:36	0	0.99874	0.002105	-0.0026978	-0.050108	0.027771	0.016266	0.00037074	0.25641	-0.29667	-5.745	-0.046936	-0.1521	0.17944	24.80713	121.0242	57.02586	0.00298309	-0.0916748	57.0259	-40	6
21:08:48:67	0	0.99878	0.0012097	-0.0014892	-0.04943	0.036652	0.046173	0.022812	0.14689	-0.16359	-5.6668	-0.69775	0.11511	-0.033142	24.80713	121.0242	57.01633	0.0236816	-0.0530396	57.0163	-40	6.25
21:08:48:98	0	0.99874	-0.0024278	0.003797	-0.050077	-0.051025	-0.046661	-0.0022221	-0.29965	0.42062	-5.742	0.090088	0.25415	0.0088425	24.80713	121.0242	56.97851	0.0397949	-0.0266571	56.9785	-39	6
21:08:49:29	0	0.99853	-0.011868	0.018225	-0.049659	-0.055725	0.10492	0.0075569	-1.4628	2.0182	-5.72	-0.41943	0.076477	0.048798	24.80713	121.0242	56.97204	0.0874023	-0.00868988	56.972	-40	5.75
21:08:49:60	0	0.99837	-0.015789	0.02322	-0.049695	0.025909	0.0025196	0.00087595	-1.9408	2.5674	-5.7427	-0.15564	-0.062744	0.025116	24.80713	121.0242	56.97564	0.00349808	-0.0592651	56.9756	-40	6.25
21:08:49:91	0	0.99823	-0.0189	0.026799	-0.049608	-0.0383	0.040527	-0.00038075	-2.318	2.9594	-5.75	0.079041	-0.011459	0.0078506	24.80713	121.0242	56.97752	0.0397034	-0.020813	56.9775	-40	5.75
